Fp1,C3,time_board
-6556.928939453237,8580.968806859113,1731452001.2953646
-6527.469340261143,8595.832716921892,1731452001.2995312
-6478.51901990402,8612.37300781882,1731452001.3023298
-6501.80953762645,8597.218525078122,1731452001.306363
-6554.023212674048,8577.526638212996,1731452001.311314
-6532.319668807944,8589.775394174505,1731452001.3153129
-6482.229409483602,8606.114519371333,1731452001.319327
-6495.081662545403,8596.793841933471,1731452001.322364
-6547.630613759829,8572.050460821445,1731452001.3263786
-6546.244805603601,8577.280769023988,1731452001.3303485
-6497.495650946576,8601.1300803578,1731452001.3344092
-6492.935895077693,8598.89490591227,1731452001.339376
-6545.015459658559,8578.420707991208,1731452001.3434076
-6549.776381227539,8577.45958297963,1731452001.3473935
-6503.329456249411,8598.246705323065,1731452001.350424
-6495.774566623517,8598.000836134057,1731452001.3544276
-6532.587889741408,8573.972710844602,1731452001.35856
-6561.041660433014,8571.916350354713,1731452001.362435
-6514.14770056578,8596.257400066543,1731452001.366502
-6482.8776100728055,8607.65678973875,1731452001.3714287
-6520.026209357526,8586.93672262868,1731452001.37543
-6554.805523729983,8578.510114969029,1731452001.3785217
-6526.865843160849,8597.777318689505,1731452001.3825145
-6481.42474668321,8612.216545607633,1731452001.3884385
-6512.024284842526,8598.626684978806,1731452001.3915412
-6553.129142895836,8584.992120861069,1731452001.3944857
-6524.943593137693,8598.134946600789,1731452001.3994553
-6479.301330959956,8612.820042707926,1731452001.4035456
-6502.8377178713945,8599.69956871266,1731452001.4064505
-6551.542169039509,8582.578132459896,1731452001.4105165
-6542.489712535109,8589.350711029854,1731452001.4144883
-6487.347958963866,8615.681065998206,1731452001.41863
-6489.449022942666,8607.902658927758,1731452001.4227114
-6544.188445113712,8583.025167349002,1731452001.4276671
-6542.735581724118,8584.32156852741,1731452001.4305208
-6494.52286893402,8602.247667580565,1731452001.4345908
-6491.818307854928,8603.588772247884,1731452001.4385269
-6552.436238817721,8583.516905727018,1731452001.4426017
-6559.253520876589,8582.801649904448,1731452001.4467342
-6501.474261459621,8601.84533618037,1731452001.450784
-6485.492764174076,8607.679141483206,1731452001.45572
-6535.895947920793,8585.193286561167,1731452001.458816
-6556.638366775319,8580.722937670105,1731452001.4628386
-6509.364427252344,8601.08537686889,1731452001.4668384
-6479.636607126786,8609.824908950915,1731452001.4708233
-6521.143796580291,8593.306969798443,1731452001.476848
-6558.381802842832,8579.962978358624,1731452001.47976
-6520.763816924551,8597.173821589211,1731452001.4837406
-6474.786278579984,8613.334132830398,1731452001.486844
-6508.850337129872,8596.726786700105,1731452001.489898
-6559.141762154313,8582.354615015342,1731452001.4949267
-6538.712267722162,8597.598504733862,1731452001.498865
-6477.915522803727,8612.529470030007,1731452001.5028925
-6486.409185696743,8604.505193770552,1731452001.506931
-6544.411962558265,8591.98821687558,1731452001.511938
-6536.253575832078,8601.711225713638,1731452001.5148487
-6479.033110026492,8620.598449778372,1731452001.5178225
-6482.542333905975,8611.166013618233,1731452001.5226896
-6540.8133317009615,8589.84244940787,1731452001.526809
-6547.697668993195,8593.977522132102,1731452001.53064
-6490.812479354439,8615.815176464937,1731452001.534698
-6480.754194349551,8614.675237497717,1731452001.5396965
-6533.05727637497,8592.41290002023,1731452001.5427904
-6546.647137003796,8591.407071519741,1731452001.5457923
-6497.070967801925,8606.650961238262,1731452001.550792
-6466.627891853797,8603.879344925803,1731452001.554752
-6520.160319824257,8583.60631270484,1731452001.5588124
-6558.515913309564,8586.109708083834,1731452001.5632057
-6519.579174468419,8610.651923495761,1731452001.5667205
-6483.145831006269,8618.989124177591,1731452001.5697167
-6516.896965133783,8596.771490189016,1731452001.5737188
-6554.291433607511,8582.89105688227,1731452001.5787735
-6521.657886702763,8599.006664634546,1731452001.5827851
-6474.830982068895,8611.993028163079,1731452001.5868356
-6501.04957831497,8589.864801152326,1731452001.5907676
-6561.421640088754,8564.048536306445,1731452001.593722
-6533.0125728860585,8585.573266216907,1731452001.5978026
-6476.395604180766,8627.639249281794,1731452001.601864
-6492.824136355417,8616.128100887312,1731452001.6058352
-6536.231224087624,8587.853144151348,1731452001.6108932
-6475.926217547205,8577.83956263537,1731452001.614865
-6412.402559805222,8572.877475366293,1731452001.618846
-6507.799805140473,8599.788975690482,1731452001.6218407
-6592.132936970346,8629.695609771683,1731452001.6258433
-6571.189352415723,8619.57026953343,1731452001.629872
-6487.750290364063,8631.550804561473,1731452001.63387
-6458.424801638699,8625.873461469826,1731452001.6388729
-6476.060328013937,8595.229219821598,1731452001.642932
-6493.76290962254,8572.497495710551,1731452001.6469276
-6446.444266610654,8603.208792592144,1731452001.6498256
-6485.3810054518,8596.346807044365,1731452001.6539843
-6502.815366126939,8607.857955438847,1731452001.6578643
-6567.546018069508,8573.257455022032,1731452001.6618505
-6612.808300591505,8624.75587424706,1731452001.666901
-6489.851354342861,8681.261084230076,1731452001.670892
-6467.052574998448,8649.85688327037,1731452001.6740148
-6474.071022757415,8571.625777676794,1731452001.677902
-6532.543186252497,8552.582091400873,1731452001.6818843
-6548.859959704872,8629.203871393665,1731452001.6859715
-6551.273948106044,8632.109598172856,1731452001.6900337
-6557.15245689779,8606.338036815887,1731452001.6939642
-6456.904883015738,8630.969659205635,1731452001.6989949
-6379.16551580018,8589.820097663414,1731452001.703098
-6441.281013641479,8535.862986548304,1731452001.7060933
-6526.642325716296,8589.954208130146,1731452001.7100444
-6561.533398811031,8665.391345666809,1731452001.7139597
-6481.201229238657,8659.781057808526,1731452001.7180817
-6509.118558063336,8634.188310407199,1731452001.7219844
-6579.615960075375,8636.669354041738,1731452001.7271838
-6492.66767414423,8607.388568805287,1731452001.7302425
-6373.845800619817,8547.999983787535,1731452001.733217
-6500.826060870417,8532.979611513569,1731452001.738129
-6577.224323418656,8612.529470030007,1731452001.742134
-6568.216570403168,8676.231941727632,1731452001.7460942
-6518.52864247902,8681.283435974532,1731452001.7501323
-6460.972900506605,8657.255310685076,1731452001.7550633
-6454.982632992582,8602.828812936403,1731452001.7581444
-6432.98851644856,8575.716146912117,1731452001.7621293
-6497.719168391129,8600.973618146612,1731452001.7661035
-6446.556025332931,8677.662453372772,1731452001.7701373
-6498.367368980333,8598.313760556432,1731452001.7741382
-6683.193943881267,8575.514981212018,1731452001.778154
-6580.375919386855,8629.1368161603,1731452001.782172
-6466.896112787261,8615.770472976026,1731452001.785148
-6335.847835045795,8555.398411202243,1731452001.790117
-6466.046746497959,8531.906727779715,1731452001.7940805
-6638.021068337092,8670.71106084717,1731452001.798079
-6596.715044583684,8704.126918807855,1731452001.802112
-6505.229354528112,8634.389476107297,1731452001.8061764
-6421.007981420516,8514.360608382298,1731452001.8101685
-6444.589071820864,8454.301471030889,1731452001.8131263
-6481.804726338951,8589.50717324104,1731452001.8173752
